iter	Passed	Remaining
0	1	161
1	2	146
2	4	137
3	5	124
4	6	122
5	7	119
6	8	118
7	10	116
8	11	114
9	12	115
10	14	113
11	15	112
12	16	110
13	17	109
14	19	107
15	20	106
16	21	105
17	22	104
18	23	102
19	25	100
20	26	99
21	27	97
22	28	96
23	30	95
24	31	94
25	32	92
26	33	91
27	34	89
28	36	88
29	37	87
30	38	86
31	39	84
32	41	83
33	42	82
34	43	80
35	44	79
36	45	78
37	47	77
38	48	75
39	49	74
40	50	73
41	51	71
42	52	69
43	53	68
44	55	67
45	56	66
46	57	65
47	58	63
48	60	62
49	61	61
50	62	60
51	63	58
52	64	57
53	65	56
54	67	54
55	68	53
56	69	52
57	70	51
58	72	50
59	73	48
60	74	47
61	75	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	83	39
68	84	37
69	85	36
70	87	35
71	88	34
72	89	33
73	90	31
74	91	30
75	93	29
76	94	28
77	95	27
78	97	25
79	98	24
80	99	23
81	100	22
82	102	20
83	103	19
84	104	18
85	105	17
86	106	15
87	108	14
88	109	13
89	110	12
90	111	11
91	112	9
92	113	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	122	0
