iter	Passed	Remaining
0	146	146619
1	149	74428
2	151	50453
3	158	39556
4	166	33141
5	168	27953
6	170	24217
7	172	21447
8	176	19416
9	179	17732
10	188	16948
11	202	16692
12	207	15720
13	209	14738
14	211	13906
15	215	13244
16	217	12581
17	223	12207
18	228	11781
19	230	11289
20	232	10834
21	235	10449
22	239	10160
23	242	9870
24	245	9559
25	247	9268
26	249	8983
27	252	8748
28	258	8659
29	260	8430
30	262	8218
31	265	8035
32	268	7879
33	274	7793
34	276	7622
35	278	7469
36	283	7366
37	285	7216
38	286	7069
39	289	6952
40	292	6833
41	294	6712
42	299	6667
43	306	6650
44	309	6558
45	314	6531
46	317	6433
47	319	6335
48	321	6246
49	325	6179
50	327	6098
51	329	6014
52	332	5941
53	335	5881
54	341	5875
55	348	5871
56	352	5836
57	355	5778
58	357	5706
59	360	5649
60	368	5665
61	369	5595
62	371	5528
63	374	5472
64	376	5410
65	378	5350
66	379	5290
67	381	5231
68	387	5227
69	390	5184
70	397	5196
71	399	5152
72	401	5103
73	405	5068
74	407	5020
75	414	5038
76	417	5001
77	423	5009
78	427	4984
79	429	4943
80	433	4917
81	435	4878
82	437	4829
83	439	4789
84	441	4751
85	446	4747
86	448	4710
87	450	4673
88	452	4635
89	456	4620
90	459	4592
91	461	4555
92	463	4525
93	466	4495
94	470	4477
95	473	4461
96	475	4430
97	477	4397
98	479	4366
99	484	4359
100	486	4333
101	488	4304
102	491	4279
103	494	4261
104	498	4244
105	501	4229
106	503	4199
107	505	4176
108	508	4155
109	510	4133
110	512	4106
111	515	4089
112	520	4085
113	524	4073
114	526	4051
115	529	4036
116	531	4010
117	534	3991
118	539	3995
119	541	3971
120	543	3950
121	545	3926
122	549	3917
123	552	3900
124	555	3888
125	557	3866
126	559	3847
127	561	3827
128	564	3808
129	566	3789
130	568	3767
131	570	3750
132	572	3730
133	574	3711
134	576	3692
135	578	3672
136	580	3657
137	583	3642
138	584	3622
139	586	3604
140	590	3600
141	592	3580
142	594	3562
143	596	3548
144	598	3529
145	600	3511
146	602	3495
147	604	3481
148	608	3474
149	610	3458
150	613	3450
151	615	3436
152	618	3421
153	620	3407
154	622	3392
155	625	3383
156	628	3374
157	630	3360
158	632	3345
159	634	3331
160	635	3314
161	640	3311
162	642	3297
163	645	3289
164	647	3277
165	649	3264
166	656	3275
167	658	3263
168	660	3249
169	663	3237
170	667	3237
171	670	3226
172	672	3213
173	674	3200
174	676	3190
175	682	3197
176	685	3185
177	686	3171
178	689	3160
179	695	3170
180	697	3157
181	699	3144
182	702	3134
183	704	3124
184	706	3112
185	708	3100
186	710	3090
187	713	3080
188	715	3068
189	720	3069
190	724	3068
191	726	3056
192	728	3044
193	729	3032
194	732	3024
195	734	3013
196	736	3003
197	738	2992
198	740	2981
199	742	2968
200	744	2957
201	745	2946
202	747	2935
